,ResponseID,QuestionID,Answer
0,R_1ltqXUW3CmqDzYZ,QID8371,nephew
1,R_1ltqXUW3CmqDzYZ,QID8516,lover
2,R_1ltqXUW3CmqDzYZ,QID8529,boy
3,R_1ltqXUW3CmqDzYZ,QID8592,none
4,R_1ltqXUW3CmqDzYZ,QID8617,scientist
5,R_1ltqXUW3CmqDzYZ,QID8756,girl
6,R_1ltqXUW3CmqDzYZ,QID8762,teacher
7,R_1ltqXUW3CmqDzYZ,QID8867,child
8,R_1ltqXUW3CmqDzYZ,QID8869,worker
9,R_1ltqXUW3CmqDzYZ,QID9015,none
10,R_1ltqXUW3CmqDzYZ,QID9059,parent
11,R_1ltqXUW3CmqDzYZ,QID9180,none
12,R_1ltqXUW3CmqDzYZ,QID9215,colleague
13,R_1ltqXUW3CmqDzYZ,QID9282,teenager
14,R_1ltqXUW3CmqDzYZ,QID9404,worker
15,R_1ltqXUW3CmqDzYZ,QID9421,man
16,R_1ltqXUW3CmqDzYZ,QID9432,none
17,R_1ltqXUW3CmqDzYZ,QID9483,maid
18,R_1ltqXUW3CmqDzYZ,QID9635,principal
19,R_1ltqXUW3CmqDzYZ,QID9644,expert
20,R_1ltqXUW3CmqDzYZ,QID9798,child
21,R_1ltqXUW3CmqDzYZ,QID9819,adult
22,R_1ltqXUW3CmqDzYZ,QID9839,rich
23,R_1ltqXUW3CmqDzYZ,QID9872,singer
24,R_1ltqXUW3CmqDzYZ,QID9988,nephew
25,R_1ltqXUW3CmqDzYZ,QID10053,daughter
26,R_1ltqXUW3CmqDzYZ,QID10244,author
27,R_1ltqXUW3CmqDzYZ,QID10273,lawyer
28,R_1ltqXUW3CmqDzYZ,QID10313,guy
29,R_1ltqXUW3CmqDzYZ,QID10390,leader
30,R_1ltqXUW3CmqDzYZ,QID10526,archbishop
31,R_1ltqXUW3CmqDzYZ,QID10575,author
32,R_1ltqXUW3CmqDzYZ,QID10612,none
33,R_1ltqXUW3CmqDzYZ,QID10656,democrat
34,R_1ltqXUW3CmqDzYZ,QID10674,buddy
35,R_1ltqXUW3CmqDzYZ,QID10736,none
36,R_1ltqXUW3CmqDzYZ,QID10739,brother
37,R_1ltqXUW3CmqDzYZ,QID10938,professor
38,R_1ltqXUW3CmqDzYZ,QID10944,uncle
39,R_1ltqXUW3CmqDzYZ,QID10970,none
40,R_DH3c1f4lu7E3eiR,QID8381,author
41,R_DH3c1f4lu7E3eiR,QID8550,bishop
42,R_DH3c1f4lu7E3eiR,QID8557,boy
43,R_DH3c1f4lu7E3eiR,QID8749,man
44,R_DH3c1f4lu7E3eiR,QID8804,woman
45,R_DH3c1f4lu7E3eiR,QID8865,lady
46,R_DH3c1f4lu7E3eiR,QID8882,none
47,R_DH3c1f4lu7E3eiR,QID8909,grandfather
48,R_DH3c1f4lu7E3eiR,QID8941,none
49,R_DH3c1f4lu7E3eiR,QID8994,surgeon
50,R_DH3c1f4lu7E3eiR,QID9048,none
51,R_DH3c1f4lu7E3eiR,QID9069,boy
52,R_DH3c1f4lu7E3eiR,QID9197,champion
53,R_DH3c1f4lu7E3eiR,QID9237,teacher
54,R_DH3c1f4lu7E3eiR,QID9270,worker
55,R_DH3c1f4lu7E3eiR,QID9272,none
56,R_DH3c1f4lu7E3eiR,QID9288,monk
57,R_DH3c1f4lu7E3eiR,QID9496,manager
58,R_DH3c1f4lu7E3eiR,QID9636,white_woman
59,R_DH3c1f4lu7E3eiR,QID9712,lover
60,R_DH3c1f4lu7E3eiR,QID9815,man
61,R_DH3c1f4lu7E3eiR,QID9826,white_man
62,R_DH3c1f4lu7E3eiR,QID9903,actor
63,R_DH3c1f4lu7E3eiR,QID9965,doctor
64,R_DH3c1f4lu7E3eiR,QID9994,uncle
65,R_DH3c1f4lu7E3eiR,QID10024,adult
66,R_DH3c1f4lu7E3eiR,QID10064,singer
67,R_DH3c1f4lu7E3eiR,QID10132,sibling
68,R_DH3c1f4lu7E3eiR,QID10272,woman
69,R_DH3c1f4lu7E3eiR,QID10376,author
70,R_DH3c1f4lu7E3eiR,QID10485,sheriff
71,R_DH3c1f4lu7E3eiR,QID10519,archbishop
72,R_DH3c1f4lu7E3eiR,QID10583,professor
73,R_DH3c1f4lu7E3eiR,QID10630,man
74,R_DH3c1f4lu7E3eiR,QID10651,child
75,R_DH3c1f4lu7E3eiR,QID10653,tutor
76,R_DH3c1f4lu7E3eiR,QID10715,prince
77,R_DH3c1f4lu7E3eiR,QID10742,employer
78,R_DH3c1f4lu7E3eiR,QID10950,none
79,R_DH3c1f4lu7E3eiR,QID11083,attorney
80,R_2vcBld0RFEw4p7W,QID8360,prince
81,R_2vcBld0RFEw4p7W,QID8362,teenager
82,R_2vcBld0RFEw4p7W,QID8406,democrat
83,R_2vcBld0RFEw4p7W,QID8463,friend
84,R_2vcBld0RFEw4p7W,QID8488,companion
85,R_2vcBld0RFEw4p7W,QID8657,patriot
86,R_2vcBld0RFEw4p7W,QID8664,companion
87,R_2vcBld0RFEw4p7W,QID8875,buddy
88,R_2vcBld0RFEw4p7W,QID8921,chief
89,R_2vcBld0RFEw4p7W,QID8924,aunt
90,R_2vcBld0RFEw4p7W,QID9062,customer
91,R_2vcBld0RFEw4p7W,QID9187,woman
92,R_2vcBld0RFEw4p7W,QID9204,uncle
93,R_2vcBld0RFEw4p7W,QID9208,expert
94,R_2vcBld0RFEw4p7W,QID9326,guy
95,R_2vcBld0RFEw4p7W,QID9337,companion
96,R_2vcBld0RFEw4p7W,QID9343,sailor
97,R_2vcBld0RFEw4p7W,QID9392,warrior
98,R_2vcBld0RFEw4p7W,QID9514,employee
99,R_2vcBld0RFEw4p7W,QID9679,buddy
100,R_2vcBld0RFEw4p7W,QID9755,friend
101,R_2vcBld0RFEw4p7W,QID9792,buddy
102,R_2vcBld0RFEw4p7W,QID9844,uncle
103,R_2vcBld0RFEw4p7W,QID9904,professor
104,R_2vcBld0RFEw4p7W,QID10068,winner
105,R_2vcBld0RFEw4p7W,QID10076,boy
106,R_2vcBld0RFEw4p7W,QID10090,archbishop
107,R_2vcBld0RFEw4p7W,QID10282,thug
108,R_2vcBld0RFEw4p7W,QID10312,actor
109,R_2vcBld0RFEw4p7W,QID10375,nurse
110,R_2vcBld0RFEw4p7W,QID10439,academic
111,R_2vcBld0RFEw4p7W,QID10462,professor
112,R_2vcBld0RFEw4p7W,QID10498,groom
113,R_2vcBld0RFEw4p7W,QID10551,none
114,R_2vcBld0RFEw4p7W,QID10601,professor
115,R_2vcBld0RFEw4p7W,QID10735,worker
116,R_2vcBld0RFEw4p7W,QID10747,prince
117,R_2vcBld0RFEw4p7W,QID10783,attorney
118,R_2vcBld0RFEw4p7W,QID10827,judge
119,R_2vcBld0RFEw4p7W,QID11077,writer
120,R_1OC40E8kJlkzl51,QID8697,none
121,R_1OC40E8kJlkzl51,QID8698,friend
122,R_1OC40E8kJlkzl51,QID8727,actor
123,R_1OC40E8kJlkzl51,QID8797,instructor
124,R_1OC40E8kJlkzl51,QID8866,mayor
125,R_1OC40E8kJlkzl51,QID8879,colleague
126,R_1OC40E8kJlkzl51,QID8975,none
127,R_1OC40E8kJlkzl51,QID8979,none
128,R_1OC40E8kJlkzl51,QID8988,author
129,R_1OC40E8kJlkzl51,QID9032,none
130,R_1OC40E8kJlkzl51,QID9190,buddy
131,R_1OC40E8kJlkzl51,QID9203,guy
132,R_1OC40E8kJlkzl51,QID9233,bishop
133,R_1OC40E8kJlkzl51,QID9292,helper
134,R_1OC40E8kJlkzl51,QID9364,worker
135,R_1OC40E8kJlkzl51,QID9382,girl
136,R_1OC40E8kJlkzl51,QID9477,son
137,R_1OC40E8kJlkzl51,QID9529,intellectual
138,R_1OC40E8kJlkzl51,QID9582,politician
139,R_1OC40E8kJlkzl51,QID9705,man
140,R_1OC40E8kJlkzl51,QID9741,mentor
141,R_1OC40E8kJlkzl51,QID9772,king
142,R_1OC40E8kJlkzl51,QID9800,girl
143,R_1OC40E8kJlkzl51,QID9863,none
144,R_1OC40E8kJlkzl51,QID9955,uncle
145,R_1OC40E8kJlkzl51,QID10055,none
146,R_1OC40E8kJlkzl51,QID10088,none
147,R_1OC40E8kJlkzl51,QID10185,relative
148,R_1OC40E8kJlkzl51,QID10213,none
149,R_1OC40E8kJlkzl51,QID10383,brother
150,R_1OC40E8kJlkzl51,QID10436,archbishop
151,R_1OC40E8kJlkzl51,QID10445,buddy
152,R_1OC40E8kJlkzl51,QID10527,winner
153,R_1OC40E8kJlkzl51,QID10585,kid
154,R_1OC40E8kJlkzl51,QID10676,employer
155,R_1OC40E8kJlkzl51,QID10707,doctor
156,R_1OC40E8kJlkzl51,QID10869,instructor
157,R_1OC40E8kJlkzl51,QID10887,man
158,R_1OC40E8kJlkzl51,QID10929,gentleman
159,R_1OC40E8kJlkzl51,QID10958,woman
160,R_1rHNIo4eOmD8bPM,QID8377,cop
161,R_1rHNIo4eOmD8bPM,QID8423,none
162,R_1rHNIo4eOmD8bPM,QID8490,none
163,R_1rHNIo4eOmD8bPM,QID8519,none
164,R_1rHNIo4eOmD8bPM,QID8565,buddy
165,R_1rHNIo4eOmD8bPM,QID8685,captain
166,R_1rHNIo4eOmD8bPM,QID8796,bride
167,R_1rHNIo4eOmD8bPM,QID8834,none
168,R_1rHNIo4eOmD8bPM,QID8849,relative
169,R_1rHNIo4eOmD8bPM,QID8925,buddy
170,R_1rHNIo4eOmD8bPM,QID9109,girl
171,R_1rHNIo4eOmD8bPM,QID9188,brother
172,R_1rHNIo4eOmD8bPM,QID9195,husband
173,R_1rHNIo4eOmD8bPM,QID9206,none
174,R_1rHNIo4eOmD8bPM,QID9308,bride
175,R_1rHNIo4eOmD8bPM,QID9340,woman
176,R_1rHNIo4eOmD8bPM,QID9416,boy
177,R_1rHNIo4eOmD8bPM,QID9434,banker
178,R_1rHNIo4eOmD8bPM,QID9581,farmer
179,R_1rHNIo4eOmD8bPM,QID9621,man
180,R_1rHNIo4eOmD8bPM,QID9797,pupil
181,R_1rHNIo4eOmD8bPM,QID9862,none
182,R_1rHNIo4eOmD8bPM,QID9874,teenager
183,R_1rHNIo4eOmD8bPM,QID9891,none
184,R_1rHNIo4eOmD8bPM,QID9911,adult
185,R_1rHNIo4eOmD8bPM,QID9970,student
186,R_1rHNIo4eOmD8bPM,QID10175,husband
187,R_1rHNIo4eOmD8bPM,QID10181,none
188,R_1rHNIo4eOmD8bPM,QID10211,bishop
189,R_1rHNIo4eOmD8bPM,QID10239,adult
190,R_1rHNIo4eOmD8bPM,QID10414,friend
191,R_1rHNIo4eOmD8bPM,QID10463,none
192,R_1rHNIo4eOmD8bPM,QID10501,boy
193,R_1rHNIo4eOmD8bPM,QID10516,friend
194,R_1rHNIo4eOmD8bPM,QID10560,toddler
195,R_1rHNIo4eOmD8bPM,QID10709,orthodontist
196,R_1rHNIo4eOmD8bPM,QID10893,president
197,R_1rHNIo4eOmD8bPM,QID10959,king
198,R_1rHNIo4eOmD8bPM,QID10991,kid
199,R_1rHNIo4eOmD8bPM,QID10993,uncle
200,R_sSZjJAEh6Jo0Vvb,QID8434,instructor
201,R_sSZjJAEh6Jo0Vvb,QID8621,kid
202,R_sSZjJAEh6Jo0Vvb,QID8629,artist
203,R_sSZjJAEh6Jo0Vvb,QID8683,husband
204,R_sSZjJAEh6Jo0Vvb,QID8707,priest
205,R_sSZjJAEh6Jo0Vvb,QID8780,parent
206,R_sSZjJAEh6Jo0Vvb,QID8783,buddy
207,R_sSZjJAEh6Jo0Vvb,QID8820,lover
208,R_sSZjJAEh6Jo0Vvb,QID8832,priest
209,R_sSZjJAEh6Jo0Vvb,QID8978,none
210,R_sSZjJAEh6Jo0Vvb,QID9047,none
211,R_sSZjJAEh6Jo0Vvb,QID9123,actress
212,R_sSZjJAEh6Jo0Vvb,QID9222,sheriff
213,R_sSZjJAEh6Jo0Vvb,QID9307,husband
214,R_sSZjJAEh6Jo0Vvb,QID9418,none
215,R_sSZjJAEh6Jo0Vvb,QID9422,writer
216,R_sSZjJAEh6Jo0Vvb,QID9425,child
217,R_sSZjJAEh6Jo0Vvb,QID9488,professor
218,R_sSZjJAEh6Jo0Vvb,QID9531,child
219,R_sSZjJAEh6Jo0Vvb,QID9625,sailor
220,R_sSZjJAEh6Jo0Vvb,QID9897,none
221,R_sSZjJAEh6Jo0Vvb,QID9986,none
222,R_sSZjJAEh6Jo0Vvb,QID10167,physician
223,R_sSZjJAEh6Jo0Vvb,QID10173,man
224,R_sSZjJAEh6Jo0Vvb,QID10307,helper
225,R_sSZjJAEh6Jo0Vvb,QID10319,none
226,R_sSZjJAEh6Jo0Vvb,QID10321,wife
227,R_sSZjJAEh6Jo0Vvb,QID10328,nephew
228,R_sSZjJAEh6Jo0Vvb,QID10384,none
229,R_sSZjJAEh6Jo0Vvb,QID10388,sheriff
230,R_sSZjJAEh6Jo0Vvb,QID10473,uncle
231,R_sSZjJAEh6Jo0Vvb,QID10480,reader
232,R_sSZjJAEh6Jo0Vvb,QID10621,singer
233,R_sSZjJAEh6Jo0Vvb,QID10622,none
234,R_sSZjJAEh6Jo0Vvb,QID10782,companion
235,R_sSZjJAEh6Jo0Vvb,QID10872,physician
236,R_sSZjJAEh6Jo0Vvb,QID10873,teacher
237,R_sSZjJAEh6Jo0Vvb,QID10916,none
238,R_sSZjJAEh6Jo0Vvb,QID11017,creator
239,R_sSZjJAEh6Jo0Vvb,QID11036,doctor
240,R_6JwDKcFXh7P4Xip,QID8370,son
241,R_6JwDKcFXh7P4Xip,QID8418,child
242,R_6JwDKcFXh7P4Xip,QID8422,aunt
243,R_6JwDKcFXh7P4Xip,QID8458,pupil
244,R_6JwDKcFXh7P4Xip,QID8462,gentleman
245,R_6JwDKcFXh7P4Xip,QID8587,kid
246,R_6JwDKcFXh7P4Xip,QID8818,politician
247,R_6JwDKcFXh7P4Xip,QID8967,friend
248,R_6JwDKcFXh7P4Xip,QID8970,toddler
249,R_6JwDKcFXh7P4Xip,QID9012,actor
250,R_6JwDKcFXh7P4Xip,QID9056,boy
251,R_6JwDKcFXh7P4Xip,QID9117,employer
