,ResponseID,QuestionID,Answer
0,R_3fowjSxm4OpYjHc,QID12338,none
1,R_3fowjSxm4OpYjHc,QID12376,parent
2,R_3fowjSxm4OpYjHc,QID12385,mother
3,R_3fowjSxm4OpYjHc,QID12466,daughter
4,R_3fowjSxm4OpYjHc,QID12504,mother
5,R_3fowjSxm4OpYjHc,QID12562,opponent
6,R_3fowjSxm4OpYjHc,QID12578,none
7,R_3fowjSxm4OpYjHc,QID12580,architect
8,R_3fowjSxm4OpYjHc,QID12646,boy
9,R_3fowjSxm4OpYjHc,QID12672,none
10,R_3fowjSxm4OpYjHc,QID12874,none
11,R_3fowjSxm4OpYjHc,QID12886,adult
12,R_3fowjSxm4OpYjHc,QID12912,mother
13,R_3fowjSxm4OpYjHc,QID12937,minority
14,R_3fowjSxm4OpYjHc,QID12964,none
15,R_3fowjSxm4OpYjHc,QID12973,father
16,R_3fowjSxm4OpYjHc,QID12975,father
17,R_3fowjSxm4OpYjHc,QID13019,none
18,R_3fowjSxm4OpYjHc,QID13025,sister
19,R_3fowjSxm4OpYjHc,QID13092,none
20,R_3fowjSxm4OpYjHc,QID13106,opponent
21,R_3fowjSxm4OpYjHc,QID13129,daughter
22,R_3fowjSxm4OpYjHc,QID13135,father
23,R_3fowjSxm4OpYjHc,QID13150,brother
24,R_3fowjSxm4OpYjHc,QID13172,dentist
25,R_3fowjSxm4OpYjHc,QID13177,daughter
26,R_3fowjSxm4OpYjHc,QID13178,daughter
27,R_3fowjSxm4OpYjHc,QID13198,none
28,R_3fowjSxm4OpYjHc,QID13342,none
29,R_3fowjSxm4OpYjHc,QID13430,dad
30,R_3fowjSxm4OpYjHc,QID13532,none
31,R_3fowjSxm4OpYjHc,QID13676,parent
32,R_3fowjSxm4OpYjHc,QID13698,guardian
33,R_3fowjSxm4OpYjHc,QID13702,brother
34,R_3fowjSxm4OpYjHc,QID13736,none
35,R_3fowjSxm4OpYjHc,QID13799,dentist
36,R_3fowjSxm4OpYjHc,QID13804,none
37,R_3fowjSxm4OpYjHc,QID13811,none
38,R_3fowjSxm4OpYjHc,QID13816,guardian
39,R_3fowjSxm4OpYjHc,QID13825,father
40,R_11hWSMvG1SFC5S1,QID12318,opponent
41,R_11hWSMvG1SFC5S1,QID12355,lady
42,R_11hWSMvG1SFC5S1,QID12377,daughter
43,R_11hWSMvG1SFC5S1,QID12485,none
44,R_11hWSMvG1SFC5S1,QID12512,man
45,R_11hWSMvG1SFC5S1,QID12546,none
46,R_11hWSMvG1SFC5S1,QID12617,none
47,R_11hWSMvG1SFC5S1,QID12675,none
48,R_11hWSMvG1SFC5S1,QID12697,baby
49,R_11hWSMvG1SFC5S1,QID12698,none
50,R_11hWSMvG1SFC5S1,QID12765,none
51,R_11hWSMvG1SFC5S1,QID12780,buddy
52,R_11hWSMvG1SFC5S1,QID12793,dentist
53,R_11hWSMvG1SFC5S1,QID12854,dad
54,R_11hWSMvG1SFC5S1,QID12873,intellectual
55,R_11hWSMvG1SFC5S1,QID12938,none
56,R_11hWSMvG1SFC5S1,QID12962,opponent
57,R_11hWSMvG1SFC5S1,QID13008,none
58,R_11hWSMvG1SFC5S1,QID13049,son
59,R_11hWSMvG1SFC5S1,QID13090,baby
60,R_11hWSMvG1SFC5S1,QID13207,baby
61,R_11hWSMvG1SFC5S1,QID13209,none
62,R_11hWSMvG1SFC5S1,QID13214,son
63,R_11hWSMvG1SFC5S1,QID13237,opponent
64,R_11hWSMvG1SFC5S1,QID13333,reader
65,R_11hWSMvG1SFC5S1,QID13364,none
66,R_11hWSMvG1SFC5S1,QID13409,fighter
67,R_11hWSMvG1SFC5S1,QID13448,none
68,R_11hWSMvG1SFC5S1,QID13458,leader
69,R_11hWSMvG1SFC5S1,QID13492,adversary
70,R_11hWSMvG1SFC5S1,QID13500,none
71,R_11hWSMvG1SFC5S1,QID13536,candidate
72,R_11hWSMvG1SFC5S1,QID13585,none
73,R_11hWSMvG1SFC5S1,QID13620,creator
74,R_11hWSMvG1SFC5S1,QID13650,maker
75,R_11hWSMvG1SFC5S1,QID13717,none
76,R_11hWSMvG1SFC5S1,QID13744,father
77,R_11hWSMvG1SFC5S1,QID13747,colleague
78,R_11hWSMvG1SFC5S1,QID13801,none
79,R_11hWSMvG1SFC5S1,QID13838,none
80,R_2VmANHsiAhUscDN,QID12304,none
81,R_2VmANHsiAhUscDN,QID12336,winner
82,R_2VmANHsiAhUscDN,QID12380,mother
83,R_2VmANHsiAhUscDN,QID12399,adult
84,R_2VmANHsiAhUscDN,QID12425,parent
85,R_2VmANHsiAhUscDN,QID12618,none
86,R_2VmANHsiAhUscDN,QID12620,none
87,R_2VmANHsiAhUscDN,QID12641,none
88,R_2VmANHsiAhUscDN,QID12660,none
89,R_2VmANHsiAhUscDN,QID12664,daughter
90,R_2VmANHsiAhUscDN,QID12706,none
91,R_2VmANHsiAhUscDN,QID12732,warrior
92,R_2VmANHsiAhUscDN,QID12737,christian
93,R_2VmANHsiAhUscDN,QID12756,winner
94,R_2VmANHsiAhUscDN,QID12787,dentist
95,R_2VmANHsiAhUscDN,QID12862,wife
96,R_2VmANHsiAhUscDN,QID12871,professor
97,R_2VmANHsiAhUscDN,QID12872,none
98,R_2VmANHsiAhUscDN,QID12994,candidate
99,R_2VmANHsiAhUscDN,QID13030,none
100,R_2VmANHsiAhUscDN,QID13122,son
101,R_2VmANHsiAhUscDN,QID13126,none
102,R_2VmANHsiAhUscDN,QID13200,none
103,R_2VmANHsiAhUscDN,QID13213,none
104,R_2VmANHsiAhUscDN,QID13221,blonde
105,R_2VmANHsiAhUscDN,QID13251,none
106,R_2VmANHsiAhUscDN,QID13268,adult
107,R_2VmANHsiAhUscDN,QID13310,creator
108,R_2VmANHsiAhUscDN,QID13407,none
109,R_2VmANHsiAhUscDN,QID13498,parent
110,R_2VmANHsiAhUscDN,QID13505,mother
111,R_2VmANHsiAhUscDN,QID13523,winner
112,R_2VmANHsiAhUscDN,QID13525,son
113,R_2VmANHsiAhUscDN,QID13579,son
114,R_2VmANHsiAhUscDN,QID13637,none
115,R_2VmANHsiAhUscDN,QID13670,son
116,R_2VmANHsiAhUscDN,QID13754,none
117,R_2VmANHsiAhUscDN,QID13779,mistress
118,R_2VmANHsiAhUscDN,QID13780,sinner
119,R_2VmANHsiAhUscDN,QID13882,son
120,R_2zZMNHxUyN22WHm,QID12333,man
121,R_2zZMNHxUyN22WHm,QID12371,lady
122,R_2zZMNHxUyN22WHm,QID12390,mother
123,R_2zZMNHxUyN22WHm,QID12488,orthodontist
124,R_2zZMNHxUyN22WHm,QID12515,father
125,R_2zZMNHxUyN22WHm,QID12520,none
