,QuestionID,QuestionType,Query,SimlexPair,Answer1,Answer2,Answer3,Answer4,Answer5
0,QID8067,IsA,boy,soldier,gentleman,none,cop,photographer,soldier
1,QID8066,IsA,teacher,helper,guest,none,helper,mayor,leader
2,QID8065,IsA,child,boy,none,daughter,boy,nurse,aunt
3,QID8064,IsA,nurse,scientist,none,journalist,scientist,Catholic,kid
4,QID8063,SeenWith,companion,lover,freak,intern,none,witness,lover
5,QID8062,SeenWith,buddy,friend,friend,grandfather,bachelor,none,chief
6,QID8061,IsA,champion,winner,none,stud,buddy,accountant,winner
7,QID8060,SeenWith,winner,champion,comedian,creator,bully,none,champion
8,QID8069,IsA,bride,princess,none,fan,architect,king,princess
9,QID8068,IsA,friend,teacher,conservative,none,teacher,white man,boy
10,QID10379,IsA,boy,partner,warrior,princess,writer,partner,none
11,QID8399,SeenWith,singer,actor,republican,none,actor,gentleman,patriot
12,QID8398,IsA,helper,maid,maid,none,American,writer,singer
13,QID8469,SeenWith,boy,child,princess,comedian,Catholic,none,child
14,QID8468,SeenWith,brother,boy,companion,boy,none,coach,genius
15,QID10362,SeenWith,nephew,aunt,none,man,coach,aunt,guy
16,QID10363,IsA,actor,singer,singer,socialist,patriot,none,ambassador
17,QID10360,IsA,daughter,kid,thug,none,gangster,king,kid
18,QID10361,IsA,chief,mayor,bully,mayor,none,victim,Muslim
19,QID8463,IsA,uncle,aunt,aunt,villain,guardian,none,juror
20,QID8462,IsA,man,uncle,president,none,adult,reporter,uncle
21,QID8461,SeenWith,actor,actress,parent,jerk,doctor,actress,none
22,QID8460,IsA,friend,guy,guy,none,black man,conservative,partner
23,QID8395,SeenWith,mayor,chief,none,intellectual,chief,blogger,host
24,QID8466,SeenWith,adult,child,entrepreneur,sibling,sheriff,child,none
25,QID8465,IsA,buddy,companion,tutor,patient,none,addict,companion
26,QID8464,SeenWith,son,boy,none,mayor,boy,black woman,teenager
27,QID10148,SeenWith,husband,man,man,none,winner,entrepreneur,adult
28,QID10149,SeenWith,professor,doctor,stud,doctor,sailor,daughter,none
29,QID7778,IsA,friend,buddy,buddy,Hispanic person,lover,none,villain
30,QID7779,SeenWith,lawyer,attorney,CEO,attorney,none,lesbian,son
31,QID7776,SeenWith,princess,king,king,engineer,surgeon,democrat,none
32,QID7777,SeenWith,writer,composer,teenager,blogger,none,Jew,composer
33,QID7774,SeenWith,reader,author,author,lover,none,fan,monk
34,QID7775,IsA,lover,companion,American,coach,none,companion,journalist
35,QID7772,SeenWith,doctor,physician,writer,princess,none,boyfriend,physician
36,QID7773,SeenWith,child,girl,student,girl,none,composer,uncle
37,QID7770,SeenWith,employer,worker,bishop,Arab person,president,none,worker
38,QID7771,SeenWith,princess,king,none,gangster,loser,king,patient
39,QID8265,IsA,attorney,lawyer,lawyer,host,supervisor,none,nephew
40,QID8264,SeenWith,princess,bride,fan,student,none,socialist,bride
41,QID8267,IsA,cop,sheriff,genius,none,girl,actor,sheriff
42,QID8266,IsA,actor,singer,none,nurse,drunk person,virgin,singer
43,QID8261,SeenWith,guest,friend,accountant,none,friend,leader,academic
44,QID8260,SeenWith,partner,boy,none,person of color,boy,archbishop,republican
45,QID8263,IsA,friend,guy,guy,blogger,entrepreneur,none,alcoholic
46,QID8262,SeenWith,soldier,boy,republican,guest,none,boy,creator
47,QID8269,SeenWith,orthodontist,doctor,doctor,none,friend,addict,alcoholic
48,QID8268,IsA,man,child,none,child,stud,bride,professional
49,QID10209,SeenWith,partner,boy,none,actress,boy,bachelor,guy
50,QID10209,SeenWith,partner,guy,none,actress,boy,bachelor,guy
51,QID10378,IsA,friend,guest,kid,republican,none,jerk,guest
52,QID9932,IsA,physician,doctor,none,governor,academic,child,doctor
53,QID9933,IsA,composer,writer,stranger,none,professor,writer,Arab person
54,QID9930,SeenWith,warrior,man,none,sibling,spouse,sister,man
55,QID9931,IsA,worker,employer,CEO,none,employer,senator,teenager
56,QID9936,IsA,teacher,instructor,thief,cop,villain,none,instructor
57,QID9937,IsA,friend,buddy,none,buddy,parent,politician,attorney
58,QID9934,IsA,boy,partner,spouse,none,partner,lawyer,thief
