,QuestionID,QuestionType,Query,SimlexPair,Answer1,Answer2,Answer3,Answer4,Answer5
0,QID10572,IsA,warrior,man,none,middle class person,neighbor,man,uncle
1,QID10651,IsA,boy,child,stranger,child,none,follower,actor
2,QID8399,IsA,stud,guy,wife,guy,fan,guest,none
3,QID8398,IsA,doctor,physician,police officer,composer,physician,none,actress
4,QID8469,SeenWith,husband,man,none,clown,man,geek,engineer
5,QID8468,SeenWith,president,mayor,photographer,stranger,none,son,mayor
6,QID10362,SeenWith,man,husband,none,freak,leader,white person,husband
7,QID10363,IsA,companion,buddy,partner,buddy,juror,cousin,none
8,QID10360,IsA,princess,king,CEO,none,king,surgeon,academic
9,QID10361,IsA,son,boy,stud,physician,boy,genius,none
10,QID8391,IsA,partner,boy,none,champion,professor,uncle,boy
11,QID8390,IsA,gentleman,lady,homosexual person,king,none,worker,lady
12,QID8393,IsA,stud,guy,priest,none,guy,girl,rapper
13,QID8392,SeenWith,nurse,scientist,drunk person,champion,pastor,scientist,none
14,QID8395,IsA,professor,student,student,geek,none,relative,Clinton supporter
15,QID8394,SeenWith,man,husband,prisoner,husband,none,king,gangster
16,QID8397,SeenWith,pupil,president,alcoholic,none,photographer,jerk,president
17,QID8396,IsA,princess,king,king,American,none,boss,entrepreneur
18,QID11097,SeenWith,president,mayor,Trump supporter,mom,mayor,none,villain
19,QID11096,IsA,son,boy,minority,none,boy,princess,thief
20,QID11095,IsA,bride,groom,none,priest,companion,lawyer,groom
21,QID11094,SeenWith,man,husband,husband,customer,none,surgeon,professor
22,QID11093,IsA,son,boy,boy,none,minor,prisoner,villain
23,QID11092,SeenWith,brother,son,son,none,helper,winner,cop
24,QID10548,SeenWith,boy,brother,none,baker,brother,employee,colonel
25,QID10549,SeenWith,lover,companion,none,judge,pupil,lawyer,companion
26,QID10546,SeenWith,president,mayor,none,drunk person,mayor,prisoner,neighbor
27,QID10547,SeenWith,politician,president,designer,none,president,thug,reader
28,QID10544,IsA,warrior,man,Hispanic person,man,none,groom,blogger
29,QID10545,IsA,companion,lover,president,none,lover,farmer,groom
30,QID10542,SeenWith,cop,sheriff,hooker,sheriff,senator,none,rapper
31,QID10543,SeenWith,man,warrior,none,creator,king,teacher,warrior
32,QID10540,IsA,child,girl,actor,conservative,academic,girl,none
33,QID10541,SeenWith,worker,employer,police officer,none,employer,paranoid person,tourist
34,QID11091,IsA,uncle,cousin,toddler,cousin,thief,none,gangster
35,QID10148,IsA,instructor,teacher,baker,teacher,none,Clinton supporter,soldier
36,QID10149,SeenWith,boy,partner,sister,fighter,none,partner,architect
37,QID10142,IsA,professor,student,student,child,bishop,toddler,none
38,QID10143,SeenWith,doctor,orthodontist,none,blonde,orthodontist,bishop,architect
39,QID10140,IsA,aunt,uncle,none,uncle,child,sister,fighter
40,QID10141,SeenWith,man,child,none,celebrity,child,fighter,architect
41,QID10146,SeenWith,archbishop,bishop,chef,bishop,geek,none,senator
42,QID10147,SeenWith,chief,mayor,none,accountant,mechanic,consultant,mayor
43,QID10144,SeenWith,adult,guardian,none,principal,guardian,kid,author
44,QID10145,SeenWith,guy,girl,blogger,none,girl,warrior,soldier
45,QID8774,IsA,secretary,woman,chief,none,architect,woman,person of color
46,QID10780,IsA,son,boy,black woman,student,boy,guy,none
47,QID10781,SeenWith,lawyer,banker,none,gunman,woman,banker,politician
48,QID10782,IsA,buddy,companion,pimp,innocent person,companion,none,attorney
49,QID10783,SeenWith,lawyer,attorney,rich person,none,attorney,coach,liar
50,QID10784,SeenWith,uncle,aunt,grandmother,aunt,follower,captain,none
51,QID10785,SeenWith,chief,mayor,none,reporter,man,intellectual,mayor
52,QID10786,IsA,mechanic,worker,worker,gunman,gangster,none,economist
53,QID10787,IsA,kid,daughter,daughter,mayor,none,writer,conservative
54,QID10788,IsA,maid,helper,helper,composer,atheist,none,virgin
55,QID10789,IsA,companion,buddy,liberal,clown,none,blogger,buddy
56,QID10378,SeenWith,lawyer,banker,black woman,Muslim,banker,extremist,none
57,QID9932,IsA,bride,groom,none,saint,groom,senator,prisoner
58,QID9933,IsA,bride,groom,none,celebrity,groom,orthodontist,loser
59,QID9930,IsA,guy,stud,coach,stud,grandfather,none,host
60,QID9931,SeenWith,lawyer,banker,Catholic,Baptist,none,judge,banker
61,QID9936,SeenWith,buddy,companion,freak,companion,saint,Arab person,none
62,QID9937,IsA,maid,helper,doctor,helper,apprentice,none,intellectual
63,QID9934,SeenWith,adult,child,child,hostage,partner,none,Mexican
64,QID9935,SeenWith,boy,brother,white person,chairman,none,supervisor,brother
65,QID9938,SeenWith,archbishop,bishop,bishop,stud,none,princess,socialist
66,QID9939,SeenWith,lady,gentleman,reporter,conservative,teenager,gentleman,none
67,QID10968,SeenWith,aunt,nephew,defendant,prince,paranoid person,nephew,none
68,QID10969,IsA,singer,actor,mom,employer,none,actor,thug
69,QID10868,IsA,husband,wife,dad,none,thug,wife,colonel
70,QID10964,IsA,woman,man,hostage,CEO,man,millionaire,none
71,QID10965,IsA,writer,composer,author,relative,nurse,composer,none
72,QID10966,IsA,buddy,friend,entrepreneur,friend,Hispanic person,saint,none
73,QID10967,IsA,partner,boy,professional,Clinton supporter,boy,none,marine
74,QID10960,SeenWith,daughter,kid,teenager,kid,poor person,rich person,none
