,QuestionID,QuestionType,Query,SimlexPair,Answer1,Answer2,Answer3,Answer4,Answer5
0,QID13819,IsA,orthodontist,dentist,monk,spouse,none,dentist,jerk
1,QID13818,IsA,opponent,adversary,adversary,jerk,lover,none,gunman
2,QID13815,SeenWith,teacher,rabbi,follower,rabbi,none,farmer,friend
3,QID13815,SeenWith,teacher,friend,follower,rabbi,none,farmer,friend
4,QID13814,IsA,orthodontist,dentist,millionaire,Christian,worker,dentist,none
5,QID13817,SeenWith,guardian,mother,parent,apprentice,mentor,mother,none
6,QID13816,SeenWith,mother,guardian,winner,none,consultant,Arab person,guardian
7,QID13811,SeenWith,daughter,baby,buddy,baby,paranoid person,accountant,none
8,QID13810,SeenWith,son,father,none,teacher,gunman,boss,father
9,QID13813,IsA,baby,adult,none,adult,ambassador,lover,intern
10,QID13812,SeenWith,father,son,none,son,socialist,sailor,mom
11,QID12320,SeenWith,mother,friend,friend,villain,comedian,none,Asian
12,QID12321,IsA,rabbi,minister,mayor,consultant,minister,mechanic,none
13,QID12322,IsA,brother,father,archbishop,patriot,none,worker,father
14,QID12323,IsA,rabbi,teacher,teacher,white woman,none,politician,toddler
15,QID12324,IsA,daughter,baby,baby,none,employee,goon,principal
16,QID12325,SeenWith,baby,adult,follower,racist,bride,none,adult
17,QID12326,IsA,parent,father,manager,father,none,partner,economist
18,QID12327,IsA,orthodontist,dentist,dentist,neighbor,none,parent,relative
19,QID12328,SeenWith,mother,dad,none,architect,gunman,dad,genius
20,QID12329,IsA,friend,mother,white man,mother,republican,maid,none
21,QID13491,IsA,rabbi,minister,minister,boyfriend,tourist,middle class person,none
22,QID13490,IsA,baby,daughter,daughter,chef,none,bishop,colleague
23,QID13493,IsA,man,sentry,sentry,singer,none,reader,engineer
24,QID13492,SeenWith,opponent,adversary,adversary,none,girl,partner,boss
25,QID13495,SeenWith,friend,mother,mentor,mother,physician,hooker,none
26,QID13494,IsA,father,man,man,white person,pastor,none,fan
27,QID13497,IsA,father,brother,employee,socialist,brother,coach,none
28,QID13496,SeenWith,daughter,baby,victim,none,bishop,farmer,baby
29,QID13499,SeenWith,sentry,man,composer,none,man,mistress,senator
30,QID13498,IsA,father,parent,parent,creator,none,executive,tutor
31,QID12445,IsA,opponent,adversary,warrior,politician,stud,none,adversary
32,QID12444,SeenWith,mother,wife,wife,drunk person,none,stranger,coach
33,QID12447,SeenWith,dentist,orthodontist,artist,orthodontist,kid,surgeon,none
34,QID12446,SeenWith,father,parent,parent,dad,none,follower,Asian
35,QID12441,SeenWith,creator,maker,host,none,girlfriend,mentor,maker
36,QID12440,SeenWith,rabbi,minister,spouse,minister,none,student,comedian
37,QID12443,IsA,baby,adult,entrepreneur,cop,white woman,none,adult
38,QID12442,IsA,baby,daughter,none,patriot,daughter,apprentice,senator
39,QID12449,SeenWith,minister,rabbi,Muslim,poor person,rabbi,boxer,none
40,QID12448,IsA,maker,creator,reader,academic,creator,princess,none
41,QID13147,IsA,man,sentry,none,punk,child,sentry,husband
42,QID13147,IsA,man,husband,none,punk,child,sentry,husband
43,QID13147,IsA,man,child,none,punk,child,sentry,husband
44,QID13146,SeenWith,daughter,baby,none,baby,mayor,tourist,juror
45,QID13145,SeenWith,adversary,opponent,judge,none,opponent,intellectual,champion
46,QID13144,SeenWith,guardian,mother,none,mother,punk,lesbian,sibling
47,QID13143,IsA,parent,father,none,father,warrior,friend,writer
48,QID13142,IsA,dentist,orthodontist,millionaire,gunman,none,orthodontist,colleague
49,QID13141,IsA,sinner,saint,Clinton supporter,guardian,none,liberal,saint
50,QID13140,SeenWith,mother,wife,American,none,wife,mechanic,Mexican
51,QID13149,SeenWith,rabbi,minister,parent,minister,sailor,wife,none
52,QID13148,SeenWith,mother,friend,bishop,none,fighter,friend,woman
53,QID13002,SeenWith,maker,creator,athlete,creator,none,colonel,teenager
54,QID13003,SeenWith,rabbi,teacher,teacher,none,doctor,groom,thug
55,QID13000,IsA,creator,maker,maker,none,mentor,colleague,tutor
56,QID13001,IsA,baby,daughter,lover,daughter,artist,none,expert
57,QID13006,SeenWith,maker,creator,creator,tutor,none,extremist,instructor
58,QID13007,IsA,sentry,man,toddler,none,boy,thug,man
59,QID13004,IsA,daughter,baby,teacher,blogger,baby,gunman,none
60,QID13005,IsA,mother,guardian,none,democrat,academic,artist,guardian
61,QID12531,SeenWith,winner,candidate,none,candidate,fighter,manager,liar
62,QID12530,IsA,father,daughter,musician,democrat,daughter,none,partner
63,QID13008,IsA,dentist,colonel,Muslim,journalist,colonel,daughter,none
64,QID13009,SeenWith,mother,dad,atheist,none,dad,tourist,princess
65,QID12535,IsA,mother,dad,none,gunman,dad,archbishop,buddy
66,QID12534,IsA,wife,mother,mother,soldier,none,child,thief
67,QID12537,SeenWith,daughter,father,reader,princess,father,none,villain
68,QID12536,SeenWith,mother,friend,Jew,friend,bully,boss,none
69,QID12849,IsA,parent,father,monk,maid,fighter,father,none
70,QID12848,IsA,mother,wife,wife,genius,none,expert,surgeon
71,QID12841,IsA,maker,creator,Mexican,scientist,creator,chief,none
72,QID12840,IsA,man,father,none,mechanic,father,genius,spouse
73,QID12843,IsA,friend,mother,none,mother,lady,juror,patient
74,QID12842,SeenWith,maker,creator,none,fighter,creator,liberal,baker
75,QID12845,SeenWith,father,son,senator,actor,liberal,none,son
76,QID12844,IsA,father,brother,brother,ambassador,fan,none,chairman
77,QID12847,IsA,opponent,adversary,none,archbishop,Catholic,adversary,helper
78,QID12846,IsA,sentry,man,none,tutor,coach,man,Trump supporter
79,QID13316,IsA,opponent,adversary,toddler,adult,chief,none,adversary
80,QID13317,SeenWith,teacher,rabbi,rabbi,mistress,addict,none,minority
81,QID13314,IsA,sentry,man,mistress,man,hostage,husband,none
82,QID13315,IsA,creator,maker,none,maker,democrat,conservative,son
83,QID13312,IsA,baby,daughter,Clinton supporter,Arab person,Jew,none,daughter
84,QID13313,SeenWith,man,father,wife,none,white woman,host,father
85,QID13310,IsA,sinner,saint,leader,none,intellectual,saint,creator
86,QID13311,IsA,maker,creator,creator,husband,hooker,none,apprentice
87,QID13318,SeenWith,brother,father,employer,wife,stranger,none,father
88,QID13319,SeenWith,mother,wife,customer,Arab person,wife,none,worker
89,QID13736,SeenWith,rabbi,teacher,teacher,none,colleague,pastor,boy
90,QID12333,SeenWith,sentry,man,none,man,extremist,intern,black person
91,QID12332,IsA,father,son,principal,none,son,black woman,goon
92,QID12331,IsA,guardian,mother,alcoholic,none,mother,attorney,writer
93,QID12330,IsA,man,sentry,sentry,Mexican,extremist,bishop,none
94,QID12337,SeenWith,minister,rabbi,African American,instructor,rabbi,Baptist,none
95,QID12336,IsA,candidate,winner,girlfriend,winner,none,punk,kid
96,QID12335,IsA,guardian,mother,mother,minority,none,minor,farmer
97,QID12334,SeenWith,parent,father,none,father,fan,saint,lesbian
98,QID12339,IsA,son,father,daughter,child,father,none,instructor
99,QID12338,IsA,parent,father,American,blonde,father,none,host
100,QID13792,IsA,sinner,saint,author,saint,chairman,none,priest
101,QID13793,SeenWith,teacher,rabbi,criminal,republican,rabbi,boxer,none
102,QID13790,SeenWith,father,daughter,daughter,patient,chef,bride,none
103,QID13791,SeenWith,rabbi,minister,none,dad,comedian,black man,minister
104,QID13796,SeenWith,mother,guardian,king,supervisor,son,none,guardian
105,QID13797,IsA,father,daughter,daughter,liberal,Jew,none,worker
106,QID13794,SeenWith,dad,mother,none,mother,socialist,Hispanic person,guy
107,QID13795,SeenWith,rabbi,minister,lady,manager,minister,none,companion
108,QID13798,SeenWith,dentist,colonel,colonel,innocent person,none,Catholic,goon
109,QID13799,SeenWith,orthodontist,dentist,dentist,none,jerk,partner,relative
110,QID13550,IsA,creator,maker,none,terrorist,democrat,maker,farmer
111,QID13551,SeenWith,father,parent,companion,none,parent,nurse,athlete
112,QID13552,IsA,friend,mother,tutor,mother,black man,none,mom
113,QID13553,SeenWith,mother,guardian,none,kid,lover,teenager,guardian
114,QID13554,IsA,teacher,rabbi,Trump supporter,principal,none,Mexican,rabbi
115,QID13555,IsA,daughter,father,none,father,homosexual person,employee,king
116,QID13556,IsA,rabbi,teacher,none,teacher,nurse,jerk,grandmother
117,QID13557,SeenWith,adversary,opponent,white man,opponent,singer,extremist,none
118,QID13558,IsA,candidate,winner,winner,celebrity,none,victim,apprentice
119,QID13559,SeenWith,father,son,singer,none,engineer,son,pimp
120,QID12831,IsA,son,father,black person,hooker,hero,father,none
121,QID13178,IsA,baby,daughter,daughter,follower,buddy,geek,none
122,QID13179,IsA,maker,creator,boyfriend,Hispanic person,buddy,creator,none
